file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/databind/util/ArrayBuilders.java,102,NullifyReturnValue,public final byte[] _constructArray(int len) { return new byte[len]; },public final byte[] _constructArray(int len) { return null; },33843,added_other
com/fasterxml/jackson/databind/util/TokenBuffer.java,2092,NullifyReturnValue,return builder.toByteArray();,return null;,36237,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,780,NullifyReturnValue,"return new long[] { _parseLongPrimitive(p, ctxt) };",return null;,14945,added_other
com/fasterxml/jackson/databind/util/ArrayBuilders.java,131,NullifyReturnValue,public final float[] _constructArray(int len) { return new float[len]; },public final float[] _constructArray(int len) { return null; },33847,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,492,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14923,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,550,NullifyReturnValue,return new byte[] { value };,return null;,14927,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,702,NullifyReturnValue,"return new int[] { _parseIntPrimitive(p, ctxt) };",return null;,14939,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,410,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14913,added_other
com/fasterxml/jackson/databind/ObjectWriter.java,1166,NullifyReturnValue,return bb.getClearAndRelease();,return null;,4192,added_other
com/fasterxml/jackson/databind/util/ArrayBuilders.java,94,NullifyReturnValue,public final boolean[] _constructArray(int len) { return new boolean[len]; },public final boolean[] _constructArray(int len) { return null; },33842,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,921,NullifyReturnValue,"return new double[] { _parseDoublePrimitive(p, ctxt) };",return null;,14957,added_other
com/fasterxml/jackson/databind/util/TokenBuffer.java,1791,NullifyReturnValue,return (str == null) ? null : str.toCharArray();,return null;,36203,added_other
com/fasterxml/jackson/databind/util/TokenBuffer.java,2074,NullifyReturnValue,return (byte[]) ob;,return null;,36235,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,618,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14932,added_other
com/fasterxml/jackson/databind/ser/std/UUIDSerializer.java,158,NullifyReturnValue,return buffer;,return null;,31970,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,582,NullifyReturnValue,return new short[0];,return null;,14930,added_other
com/fasterxml/jackson/databind/node/TextNode.java,85,NullifyReturnValue,return builder.toByteArray();,return null;,26432,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,331,NullifyReturnValue,"return (char[]) ctxt.handleUnexpectedToken(_valueClass, p);",return null;,14908,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,559,NullifyReturnValue,return result;,return null;,14928,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,665,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14937,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,789,NullifyReturnValue,return result;,return null;,14946,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,860,NullifyReturnValue,return result;,return null;,14952,added_other
com/fasterxml/jackson/databind/node/BinaryNode.java,81,NullifyReturnValue,public byte[] binaryValue() { return _data; },public byte[] binaryValue() { return null; },25169,added_other
com/fasterxml/jackson/databind/ObjectMapper.java,4080,NullifyReturnValue,return result;,return null;,2841,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,311,NullifyReturnValue,if (ob == null) return null;,if (ob == null) return null;,14903,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,589,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14931,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,774,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14944,added_other
com/fasterxml/jackson/databind/util/TokenBuffer.java,2083,NullifyReturnValue,return null;,return null;,36236,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,261,NullifyReturnValue,return new char[0];,return null;,14900,added_other
com/fasterxml/jackson/databind/node/TreeTraversingParser.java,371,NullifyReturnValue,return ((TextNode) n).getBinaryValue(b64variant);,return null;,26521,added_other
com/fasterxml/jackson/databind/node/TreeTraversingParser.java,373,NullifyReturnValue,return n.binaryValue();,return null;,26522,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,883,NullifyReturnValue,return new double[0];,return null;,14954,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,377,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14912,added_other
com/fasterxml/jackson/databind/node/NodeSerialization.java,75,NullifyReturnValue,return bb.completeAndCoalesce(outOffset);,return null;,25891,added_other
com/fasterxml/jackson/databind/node/TextNode.java,90,NullifyReturnValue,return getBinaryValue(Base64Variants.getDefaultVariant());,return null;,26433,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,542,NullifyReturnValue,return (byte[]) getEmptyValue(ctxt);,return null;,14925,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,279,NullifyReturnValue,return result;,return null;,14901,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,452,NullifyReturnValue,return new byte[0];,return null;,14917,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,316,NullifyReturnValue,return ((String) ob).toCharArray();,return null;,14905,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,313,NullifyReturnValue,return (char[]) ob;,return null;,14904,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,416,NullifyReturnValue,"return new boolean[] { _parseBooleanPrimitive(p, ctxt) };",return null;,14914,added_other
com/fasterxml/jackson/databind/node/POJONode.java,48,NullifyReturnValue,return super.binaryValue();,return null;,26322,added_other
