file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/BaseResultSetHandler.java,616,NullifyInputVariable,"protected final Timestamp getTimestamp(final String columnLabel, final Calendar cal) throws SQLException {","protected final Timestamp getTimestamp(final String columnLabel, final Calendar cal) throws SQLException { columnLabel = null;",170,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,479,NullifyInputVariable,public void setNullCharacterStream(final Reader nullCharacterStream) {,public void setNullCharacterStream(final Reader nullCharacterStream) { nullCharacterStream = null;,35,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,506,NullifyInputVariable,"public Future<Integer> update(final Connection conn, final String sql, final Object param) throws SQLException {","public Future<Integer> update(final Connection conn, final String sql, final Object param) throws SQLException { conn = null;",31,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,405,NullifyInputVariable,public void setNullAsciiStream(final InputStream nullAsciiStream) {,public void setNullAsciiStream(final InputStream nullAsciiStream) { nullAsciiStream = null;,39,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,476,NullifyInputVariable,"protected final Object getObject(final String columnLabel, final Map<String, Class<?>> map) throws SQLException {","protected final Object getObject(final String columnLabel, final Map<String, Class<?>> map) throws SQLException { columnLabel = null;",183,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AbstractQueryRunner.java,187,NullifyInputVariable,protected void close(final ResultSet resultSet) throws SQLException {,protected void close(final ResultSet resultSet) throws SQLException { resultSet = null;,58,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,953,NullifyInputVariable,"protected final void updateBlob(final int columnIndex, final InputStream inputStream) throws SQLException {","protected final void updateBlob(final int columnIndex, final InputStream inputStream) throws SQLException { inputStream = null;",138,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,470,NullifyInputVariable,"public <T> T insertBatch(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object[][] params) throws SQLException {","public <T> T insertBatch(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object[][] params) throws SQLException { sql = null;",90,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/ArrayHandler.java,81,NullifyInputVariable,public Object[] handle(final ResultSet resultSet) throws SQLException {,public Object[] handle(final ResultSet resultSet) throws SQLException { resultSet = null;,2,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AbstractQueryRunner.java,615,NullifyInputVariable,throws SQLException {,throws SQLException { sql = null;,33,reduced_nullify_input_other_filter
org/apache/commons/dbutils/BaseResultSetHandler.java,974,NullifyInputVariable,"protected final void updateBlob(final String columnLabel, final InputStream inputStream) throws SQLException {","protected final void updateBlob(final String columnLabel, final InputStream inputStream) throws SQLException { columnLabel = null;",134,reduced_nullify_final_param_non_compilable
